,,GT TRUE,GT FALSE,Accuracy,Precision,Recall,F1 score
Experiment 1,GPT 3.5 T,30,0,1,1,1,1
,GPT 3.5 F,0,30,100%,100%,100%,100%
,GPT 4 T,25,0,0.9166666667,1,0.8333333333,0.9090909091
,GPT 4 F,5,30,92%,100%,83%,91%
Experiment 2 whole,GPT 3.5 T,53,7,0.9066666667,0.8833333333,0.8833333333,0.8833333333
,GPT 3.5 F,7,83,91%,83%,88%,88%
,GPT 4 T,51,5,0.9066666667,0.9107142857,0.85,0.8793103448
,GPT 4 F,9,85,91%,91%,85%,88%
Experiment 2 direct quotation,GPT 3.5 T,18,2,0.92,0.9,0.9,0.9
,GPT 3.5 F,2,28,92%,90%,90%,90%
,GPT 4 T,15,1,0.88,0.9375,0.75,0.8333333333
,GPT 4 F,5,29,88%,94%,75%,83%
Experiment 2 paraphrasing,GPT 3.5 T,17,3,0.88,0.85,0.85,0.85
,GPT 3.5 F,3,27,88%,85%,85%,85%
,GPT 4 T,16,1,0.9,0.9411764706,0.8,0.8648648649
,GPT 4 F,4,29,90%,94%,80%,86%
Experiment 2 summarising,GPT 3.5 T,18,2,0.92,0.9,0.9,0.9
,GPT 3.5 F,2,28,92%,90%,90%,90%
,GPT 4 T,20,3,0.94,0.8695652174,1,0.9302325581
,GPT 4 F,0,27,94%,87%,100%,93%
Experiment 2 large text,GPT 3.5 T,24,5,0.8166666667,0.8275862069,0.8,0.813559322
,GPT 3.5 F,6,25,82%,83%,80%,81%
,GPT 4 T,24,2,0.8666666667,0.9230769231,0.8,0.8571428571
,GPT 4 F,6,28,87%,92%,80%,86%
Experiment 2 minimal text,GPT 3.5 T,29,1,0.9777777778,0.9666666667,0.9666666667,0.9666666667
,GPT 3.5 F,1,59,97%,97%,97%%,97%
,GPT 4 T,27,2,0.9444444444,0.9310344828,0.9,0.9152542373
,GPT 4 F,3,58,94%,93%,90%,91%
